x,y
-5.0,-4.041075725336862
-4.898989898989899,-3.9163493912650007
-4.797979797979798,-3.801640456421963
-4.696969696969697,-3.6970885717649358
-4.595959595959596,-3.6027298435408044
-4.494949494949495,-3.5184964652057804
-4.393939393939394,-3.4442174086702755
-4.292929292929293,-3.379620167822238
-4.191919191919192,-3.3243335365548163
-4.090909090909091,-3.2778913929781237
-3.9898989898989896,-3.2397374512374517
-3.888888888888889,-3.2092309324961428
-3.787878787878788,-3.185653097271042
-3.686868686868687,-3.168214572527492
-3.5858585858585856,-3.156063398838761
-3.484848484848485,-3.148293715574207
-3.383838383838384,-3.1439549955761583
-3.282828282828283,-3.14206173518383
-3.1818181818181817,-3.1416035008205854
-3.080808080808081,-3.1415552297259484
-2.9797979797979797,-3.1408876798228973
-2.878787878787879,-3.1385779221906565
-2.7777777777777777,-3.133619769178843
-2.676767676767677,-3.1250340318549434
-2.5757575757575757,-3.111878502216909
-2.474747474747475,-3.0932575584085344
-2.3737373737373737,-3.0683312950185044
-2.272727272727273,-3.036324085385482
-2.1717171717171717,-2.9965324886219467
-2.070707070707071,-2.9483324207496704
-1.9696969696969697,-2.891185516841632
-1.868686868686869,-2.824644619312357
-1.7676767676767677,-2.748358336407025
-1.6666666666666665,-2.6620746244184312
-1.5656565656565657,-2.565643357113364
-1.4646464646464645,-2.45901785617471
-1.3636363636363638,-2.3422553670574184
-1.2626262626262625,-2.215516475407241
-1.1616161616161618,-2.0790634699915267
-1.0606060606060606,-1.9332576688309224
-0.9595959595959593,-1.7785557357904072
-0.858585858585859,-1.6155050251796692
-0.7575757575757578,-1.4447380018216833
-0.6565656565656566,-1.2669657934733867
-0.5555555555555554,-1.0829709413274207
-0.45454545454545503,-0.8935994224990162
-0.3535353535353538,-0.6997520258237127
-0.2525252525252526,-0.5023751688842307
-0.15151515151515138,-0.3024512498810742
-0.050505050505050164,-0.10098863270347228
0.050505050505050164,0.10098863270347228
0.15151515151515138,0.3024512498810742
0.2525252525252526,0.5023751688842307
0.3535353535353538,0.6997520258237127
0.45454545454545414,0.8935994224990145
0.5555555555555554,1.0829709413274207
0.6565656565656566,1.2669657934733867
0.7575757575757578,1.4447380018216833
0.8585858585858581,1.6155050251796677
0.9595959595959593,1.7785557357904072
1.0606060606060606,1.9332576688309224
1.1616161616161618,2.0790634699915267
1.262626262626262,2.2155164754072407
1.3636363636363633,2.342255367057418
1.4646464646464645,2.45901785617471
1.5656565656565657,2.565643357113364
1.666666666666667,2.662074624418432
1.7676767676767673,2.7483583364070245
1.8686868686868685,2.8246446193123567
1.9696969696969697,2.891185516841632
2.070707070707071,2.9483324207496704
2.1717171717171713,2.996532488621946
2.2727272727272725,3.036324085385482
2.3737373737373737,3.0683312950185044
2.474747474747475,3.0932575584085344
2.5757575757575752,3.111878502216909
2.6767676767676765,3.1250340318549434
2.7777777777777777,3.133619769178843
2.878787878787879,3.1385779221906565
2.9797979797979792,3.1408876798228973
3.0808080808080813,3.1415552297259484
3.1818181818181817,3.1416035008205854
3.282828282828282,3.14206173518383
3.383838383838384,3.1439549955761583
3.4848484848484844,3.148293715574207
3.5858585858585865,3.156063398838761
3.686868686868687,3.168214572527492
3.787878787878787,3.185653097271042
3.8888888888888893,3.2092309324961428
3.9898989898989896,3.2397374512374517
4.09090909090909,3.2778913929781233
4.191919191919192,3.3243335365548163
4.292929292929292,3.379620167822238
4.3939393939393945,3.4442174086702764
4.494949494949495,3.5184964652057804
4.595959595959595,3.6027298435408035
4.696969696969697,3.6970885717649358
4.797979797979798,3.801640456421963
4.8989898989899,3.9163493912650016
5.0,4.041075725336862
